"Gene Symbol","miRNA","Validated"
"OLFM4","hsa-miR-18a","0"
"PABPC1","hsa-miR-133b","0"
"RPL8","hsa-miR-760","0"
"B2M","hsa-miR-181c","0"
"SPARCL1","hsa-miR-27b","0"
"RPS18","hsa-miR-484","1"
"RPL8","hsa-miR-197","0"
"OLFM4","hsa-miR-221","0"
"CRISP3","hsa-miR-892b","0"
"FOS","hsa-miR-181d","0"
"RPS3","hsa-miR-503","0"
"SYNM","hsa-miR-758","0"
"RPL11","hsa-miR-577","0"
"RDH11","hsa-miR-183","0"
"RPL32","hsa-miR-217","0"
"RPLP1","hsa-miR-448","0"
"FOS","hsa-miR-152","0"
"RDH11","hsa-miR-96","0"
"RPLP0","hsa-miR-1303","0"
"SLC45A3","hsa-miR-605","0"
"TPM1","hsa-miR-183","0"
"UBC","hsa-miR-106b","0"
"RPL15","hsa-miR-21","0"
"RPL8","hsa-miR-504","0"
"CALD1","hsa-miR-183","0"
"RPL19","hsa-miR-192","0"
"RPS4X","hsa-miR-10b","0"
"CRISP3","hsa-miR-198","0"
"CRISP3","hsa-miR-448","0"
"CRISP3","hsa-miR-384","0"
"CRISP3","hsa-miR-613","0"
"CRISP3","hsa-miR-630","0"
"GAPDH","hsa-miR-326","0"
"TPM2","hsa-miR-98","0"
"RPL8","hsa-miR-148a","0"
"RDH11","hsa-miR-375","1"
"UBC","hsa-miR-130a","0"
"PABPC1","hsa-miR-935","0"
"TPT1","hsa-miR-1262","0"
"MYLK","hsa-miR-23b","0"
"HSP90AA1","hsa-miR-491","0"
"PABPC1","hsa-miR-375","0"
"OLFM4","hsa-let-7g","0"
"PABPC1","hsa-miR-631","0"
"SLC45A3","hsa-miR-222","0"
"MYLK","hsa-miR-577","0"
"OLFM4","hsa-miR-186","0"
"FOS","hsa-miR-148b","0"
"PABPC1","hsa-miR-27a","0"
"NR4A1","hsa-miR-326","0"
"OLFM4","hsa-miR-22","0"
"FOS","hsa-miR-518b","0"
"OLFM4","hsa-miR-520g","0"
"BTG2","hsa-miR-23a","0"
"RPL32","hsa-miR-192","0"
"CRISP3","hsa-miR-222","0"
"OLFM4","hsa-miR-620","0"
"RPS14","hsa-miR-616","0"
"CLDN4","hsa-miR-10b","0"
"SLC45A3","hsa-miR-15a","0"
"ZFP36","hsa-miR-326","0"
"SLC45A3","hsa-miR-126","0"
"B2M","hsa-miR-223","0"
"RPS4X","hsa-miR-130a","0"
"RPL8","hsa-miR-133b","0"
"RPS19","hsa-miR-892b","0"
"MUC6","hsa-miR-10a","0"
"FTL","hsa-miR-503","0"
"HSP90AA1","hsa-miR-421","1"
"RPS3","hsa-miR-27b","0"
"RPL8","hsa-miR-148b","0"
"SYNM","hsa-miR-19a","0"
"FTH1","hsa-miR-616","0"
"RPS6","hsa-miR-421","0"
"TPM1","hsa-miR-577","0"
"RPS6","hsa-miR-203","0"
"RPL8","hsa-miR-631","0"
"RPL8","hsa-miR-603","0"
"FOS","hsa-miR-221","1"
"P4HB","hsa-miR-335","0"
"CLU","hsa-miR-100","0"
"PSAP","hsa-miR-152","0"
"MYLK","hsa-miR-186","0"
"RPS18","hsa-miR-34a","0"
"RDH11","hsa-miR-612","0"
"SYNM","hsa-miR-200b","0"
"RPL8","hsa-miR-221","0"
"SLC45A3","hsa-miR-940","0"
"RPL11","hsa-miR-137","0"
"PABPC1","hsa-miR-26b","0"
"UBC","hsa-miR-206","0"
"FOS","hsa-miR-148a","0"
"OLFM4","hsa-miR-27a","0"
"RPL10A","hsa-miR-223","0"
"CRISP3","hsa-miR-186","0"
"CRISP3","hsa-miR-223","0"
"MYLK","hsa-miR-429","0"
"RPS3","hsa-miR-22","0"
"RDH11","hsa-miR-559","0"
"RDH11","hsa-miR-622","0"
"UBC","hsa-miR-17","0"
"FOSB","hsa-miR-19a","0"
"SYNM","hsa-miR-200c","0"
"HSP90AA1","hsa-miR-148b","0"
"RPLP0","hsa-miR-26b","0"
"FOS","hsa-miR-181c","0"
"RPS19","hsa-miR-370","0"
